gvkey,tic,cusip,conm,cik
1045,AAL,02376R102,AMERICAN AIRLINES GROUP INC,6201
1075,PNW,723484101,PINNACLE WEST CAPITAL CORP,764622
1209,APD,009158106,AIR PRODUCTS & CHEMICALS INC,2969
1230,ALK,011659109,ALASKA AIR GROUP INC,766421
1300,HON,438516106,HONEYWELL INTERNATIONAL INC,773840
1380,HES,42809H107,HESS CORP,4447
1393,UHAL,023586100,U-HAUL HOLDING CO,4457
1440,AEP,025537101,AMERICAN ELECTRIC POWER CO,4904
1602,AMGN,031162100,AMGEN INC,318154
1632,ADI,032654105,ANALOG DEVICES INC,6281
1678,APA,03743Q108,APA CORP,1841666
1722,ADM,039483102,ARCHER-DANIELS-MIDLAND CO,7084
1773,ARW,042735100,ARROW ELECTRONICS INC,7536
1794,ASH,044186104,ASHLAND INC,1674862
1837,SO7,84399X001,SOUTHERN CO GAS,1004155
1891,ADP,053015103,AUTOMATIC DATA PROCESSING,8670
2055,GOLD,067901108,BARRICK GOLD CORP,756894
2136,VZ,92343V104,VERIZON COMMUNICATIONS INC,732712
2176,BRK.B,084670702,BERKSHIRE HATHAWAY,1067983
2184,BBY,086516101,BEST BUY CO INC,764478
2403,BMY,110122108,BRISTOL-MYERS SQUIBB CO,14272
2410,BP,055622104,BP PLC,313807
2663,CPB,134429109,CAMPBELL SOUP CO,16732
2710,STZ,21036P108,CONSTELLATION BRANDS,16918
2751,CAH,14149Y108,CARDINAL HEALTH INC,721371
2884,LUMN,550241103,LUMEN TECHNOLOGIES INC,18926
2991,CVX,166764100,CHEVRON CORP,93410
3107,CLF,185899101,CLEVELAND-CLIFFS INC,764065
3144,KO,191216100,COCA-COLA CO,21344
3278,CAR,053774105,AVIS BUDGET GROUP INC,723612
3413,ED,209115104,CONSOLIDATED EDISON INC,1047862
3439,CMS,125896100,CMS ENERGY CORP,811156
3504,COO,216648501,COOPER COS INC (THE),711404
3505,TAP,60871R209,MOLSON COORS BEVERAGE CO,24545
3532,GLW,219350105,CORNING INC,24741
3619,CCK,228368106,CROWN HOLDINGS INC,1219601
3650,CMI,231021106,CUMMINS INC,26172
3734,DAN,235825205,DANA INC,26780
3813,TGT,87612E106,TARGET CORP,27419
3835,DE,244199105,DEERE & CO,315189
3851,DAL,247361702,DELTA AIR LINES INC,27904
3897,DTE,233331107,DTE ENERGY CO,936340
3980,DIS,254687106,DISNEY (WALT) CO,1744489
4016,DG,256677105,DOLLAR GENERAL CORP,29534
4029,D,25746U109,DOMINION ENERGY INC,715957
4040,RRD,257867200,DONNELLEY (R R) & SONS CO,29669
4058,DOV,260003108,DOVER CORP,29905
4060,DD,26614N102,DUPONT DE NEMOURS INC,1666700
4093,DUK,26441C204,DUKE ENERGY CORP,1326160
4194,KODK,277461406,EASTMAN KODAK CO,31235
4321,EMR,291011104,EMERSON ELECTRIC CO,32604
4383,ATO,049560105,ATMOS ENERGY CORP,731802
4423,EFX,294429105,EQUIFAX INC,33185
4430,EQT,26884L109,EQT CORP,33213
4494,EXPD,302130109,EXPEDITORS INTL WASH INC,746515
4503,XOM,30231G102,EXXON MOBIL CORP,34088
4510,FMC,302491303,FMC CORP,37785
4598,FDX,31428X106,FEDEX CORP,1048911
4611,M,55616P104,MACY'S INC,794367
4799,DUK9,26499R004,DUKE ENERGY FLORIDA INC,37637
4839,F,345370860,FORD MOTOR CO,37996
4990,GAP,364760108,GAP INC,39911
5073,GM,37045V100,GENERAL MOTORS CO,1467858
5125,GPC,372460105,GENUINE PARTS CO,40987
5284,GTN,389375106,GRAY TELEVISION INC,43196
5439,HAL,406216101,HALLIBURTON CO,45012
5568,KHC,500754106,KRAFT HEINZ CO,1637459
5597,HSY,427866108,HERSHEY CO,47111
5643,HLT,43300A203,HILTON WORLDWIDE HOLDINGS,1585689
5667,DINO,403949100,HF SINCLAIR CORP,1915657
5680,HD,437076102,HOME DEPOT INC,354950
5709,HRL,440452100,HORMEL FOODS CORP,48465
5742,CNP,15189T107,CENTERPOINT ENERGY INC,1130310
5860,ITT,45073V108,ITT INC,216228
6008,INTC,458140100,INTEL CORP,50863
6104,IP,460146103,INTL PAPER CO,51434
6307,SHLDQ,812350106,SEARS HOLDINGS CORP,1310067
6310,KMI,49456B101,KINDER MORGAN INC,1506307
6335,KSU,485170302,KANSAS CITY SOUTHERN,54480
6338,EVRG,30034W106,EVERGY INC,1711269
6435,KMB,494368103,KIMBERLY-CLARK CORP,55785
6461,KEX,497266106,KIRBY CORP,56047
6502,KR,501044101,KROGER CO,56873
6733,BBWI,070830104,BATH & BODY WORKS INC,701985
6774,LMT,539830109,LOCKHEED MARTIN CORP,936468
6788,RRC,75281A109,RANGE RESOURCES CORP,315852
6823,ETR2,29364M001,ENTERGY LOUISIANA LLC,1348952
6829,LOW,548661107,LOWE'S COS INC,60667
7017,MRO,565849106,MARATHON OIL CORP,101778
7063,HST,44107P104,HOST HOTELS & RESORTS INC,1070750
7085,MAS,574599106,MASCO CORP,62996
7146,MKC,579780206,MCCORMICK & CO INC,63754
7154,MCD,580135101,MCDONALD'S CORP,63908
7163,SPGI,78409V104,S&P GLOBAL INC,64040
7343,MU,595112103,MICRON TECHNOLOGY INC,723125
7366,ETR,29364G103,ENTERGY CORP,65984
7585,MSI,620076307,MOTOROLA SOLUTIONS INC,68505
7637,VTRS,92556V106,VIATRIS INC,1792044
7648,VYX,62886E108,NCR VOYIX CORP,70866
7750,THC,88033G407,TENET HEALTHCARE CORP,70318
7875,NWL,651229106,NEWELL BRANDS INC,814453
7912,NBL,655044105,NOBLE ENERGY INC,72207
7970,ES,30040W108,EVERSOURCE ENERGY,72741
7974,NI,65473P105,NISOURCE INC,1111711
7977,XEL,98389B100,XCEL ENERGY INC,72903
7985,NOC,666807102,NORTHROP GRUMMAN CORP,1133421
8030,NUE,670346105,NUCOR CORP,73309
8068,OXY,674599105,OCCIDENTAL PETROLEUM CORP,797468
8113,OGE,670837103,OGE ENERGY CORP,1021635
