COMPANY_NAME,GUID_FISCAL_PERIOD,GUIDANCE_LINE_ITEM,GUID_AMT
PINNACLE WEST CAPITAL CORP - PNW.N,Q1-Mar.21,Capital Expenditure,-
PINNACLE WEST CAPITAL CORP - PNW.N,Q2-Jun.21,Capital Expenditure,-
PINNACLE WEST CAPITAL CORP - PNW.N,Q3-Sep.21,Capital Expenditure,-
PINNACLE WEST CAPITAL CORP - PNW.N,Q4-Dec.21,Capital Expenditure,-
PINNACLE WEST CAPITAL CORP - PNW.N,FY-Dec.21,Capital Expenditure,T
PINNACLE WEST CAPITAL CORP - PNW.N,Q1-Mar.21,Capital Expenditure,-
PINNACLE WEST CAPITAL CORP - PNW.N,Q2-Jun.21,Capital Expenditure,-
PINNACLE WEST CAPITAL CORP - PNW.N,Q3-Sep.21,Capital Expenditure,-
PINNACLE WEST CAPITAL CORP - PNW.N,Q4-Dec.21,Capital Expenditure,-
PINNACLE WEST CAPITAL CORP - PNW.N,FY-Dec.21,Capital Expenditure,T
AMERICAN AIRLINES GROUP INC - AAL.OQ,Q1-Mar.20,Capital Expenditure,-
AMERICAN AIRLINES GROUP INC - AAL.OQ,Q2-Jun.20,Capital Expenditure,-
AMERICAN AIRLINES GROUP INC - AAL.OQ,Q3-Sep.20,Capital Expenditure,-
AMERICAN AIRLINES GROUP INC - AAL.OQ,Q4-Dec.20,Capital Expenditure,-
AMERICAN AIRLINES GROUP INC - AAL.OQ,FY-Dec.20,Capital Expenditure,"3,300.0"
AMERICAN AIRLINES GROUP INC - AAL.OQ,Q1-Mar.20,Capital Expenditure,-
AMERICAN AIRLINES GROUP INC - AAL.OQ,Q2-Jun.20,Capital Expenditure,-
AMERICAN AIRLINES GROUP INC - AAL.OQ,Q3-Sep.20,Capital Expenditure,-
AMERICAN AIRLINES GROUP INC - AAL.OQ,Q4-Dec.20,Capital Expenditure,-
AMERICAN AIRLINES GROUP INC - AAL.OQ,FY-Dec.20,Capital Expenditure,T
PINNACLE WEST CAPITAL CORP - PNW.N,Q1-Mar.21,Capital Expenditure,-
